timestamp,temperature,humidity,pressure
2025-01-01 00:00:00,22.5,45.2,1013.2
2025-01-01 01:00:00,21.8,46.1,1013.5
2025-01-01 02:00:00,21.2,47.3,1013.8
2025-01-01 03:00:00,20.5,48.5,1014.0
2025-01-01 04:00:00,19.8,50.2,1014.2
2025-01-01 05:00:00,19.2,51.8,1014.5
2025-01-01 06:00:00,19.5,52.1,1014.3
2025-01-01 07:00:00,20.8,50.5,1014.0
2025-01-01 08:00:00,22.3,48.2,1013.7
2025-01-01 09:00:00,24.1,45.8,1013.3
2025-01-01 10:00:00,25.8,43.2,1012.9
2025-01-01 11:00:00,27.2,40.5,1012.5
2025-01-01 12:00:00,28.5,38.1,1012.2
2025-01-01 13:00:00,29.1,36.8,1011.9
2025-01-01 14:00:00,29.5,35.5,1011.7
2025-01-01 15:00:00,29.2,36.2,1011.8
2025-01-01 16:00:00,28.3,38.5,1012.1
2025-01-01 17:00:00,26.8,41.2,1012.5
2025-01-01 18:00:00,25.1,44.5,1012.9
2025-01-01 19:00:00,23.8,46.8,1013.2
2025-01-01 20:00:00,22.9,48.2,1013.5
2025-01-01 21:00:00,22.2,49.5,1013.7
2025-01-01 22:00:00,21.8,50.1,1013.9
2025-01-01 23:00:00,21.5,50.8,1014.0
